id,postal_cd,country_cd,city_name,state_abbrv,latitude,longitude
11009,27152,US,Winston Salem,NC,36.1005000000,-80.2083000000
11010,27155,US,Winston Salem,NC,36.1025000000,-80.2053000000
11011,27157,US,Winston Salem,NC,36.0964000000,-80.2096000000
11012,27198,US,Winston Salem,NC,36.1003000000,-80.2498000000
11013,27199,US,Winston Salem,NC,36.0987000000,-80.2508000000
11014,27201,US,Alamance,NC,36.0351000000,-79.4863000000
11015,27202,US,Altamahaw,NC,36.1853350000,-79.5056920000
11016,27203,US,Asheboro,NC,35.7369950000,-79.7703700000
11017,27204,US,Asheboro,NC,35.7075000000,-79.8137000000
11018,27205,US,Asheboro,NC,35.6397920000,-79.8378020000
11019,27207,US,Bear Creek,NC,35.5966430000,-79.3764260000
11020,27208,US,Bennett,NC,35.5809250000,-79.5352640000
11021,27209,US,Biscoe,NC,35.3380110000,-79.7551060000
11022,27212,US,Blanch,NC,36.4635440000,-79.2742980000
11023,27213,US,Bonlee,NC,35.6458000000,-79.4149000000
11024,27214,US,Browns Summit,NC,36.2056870000,-79.6758140000
11025,27215,US,Burlington,NC,36.0286610000,-79.4971860000
11026,27216,US,Burlington,NC,36.0956000000,-79.4382000000
11027,27217,US,Burlington,NC,36.2089340000,-79.3790920000
11028,27228,US,Bynum,NC,35.7738000000,-79.1426000000
